question,answer,context_id
Why did the butterflies fly away eight years ago?,Their habitat has been lost.,2876
What kind of car does Jack own?,not enough information,50093
What does Trump likely believe about the basis under which the investigations were launched?,that they are unsubstantiated and are solely the product of party bias against him,47821
Where does this text probably come from?,A health report,54973
Why did the writer stop in at the bakery ?,Because they really like sweets from this bakery .,58248
What is the best title of the passage?,Always keep red ribbon in sight,57392
Which of the following is TRUE according to the passage?,Edison wanted to invent things that sold well.,2765
The whole passage is developed mainly by means of   _  .,providing data and facts,42307
What is the main idea of the passage?,"It's people's determination, intelligence and personality that decide their success.",2151
"In order to make the soundboard strong,_.",stripes are stuck across the inside of wood,9727
What may be a fact about this person 's situation ?,They are reflecting back on their views about God .,49990
What was the main subject of the book ?,Love of country and determination to be free of communist control .,39231
Which of the following is TRUE according to the passage?,The two huge marble poles were carved in two languages.,32153
What could have led to Molly going to sleep on the target bag ?,"Molly is a puppy , and is not picky when it comes to choosing a place to sleep",46728
What is the one thing that the author finds unsatisfactory about beauty blogs?,English grammar error,2093
"According to the text, the inquiry focuses on   _  .",what caused the deaths of Diana and her boyfriend,20914
Why did narrator hit the dogs with a tree branch?,The dogs were attacking the narrator.,9105
What happened on June 12th ?,He met a virtual friend at a physical occasion .,35535
How do dolphins breathe?,They come to the surface to breathe.,47859
People from all parts of the world go to visit Venice because  _  .,it is not only beautiful but also quite different from other cities.,19829
What was the writer's attitude towards jogging in the beginning?,He felt it was worth a try.,15527
Who sold Greg his car?,Navy guy,50667
Why does the narrator have so much free time today ?,They have no school assignments .,19853
We can learn that STARBUCKS from the passage   _  .,cares about the customers' safety,1581
"Immediately after the end of this text, the stranger:",is looking for the dead fiddler,48280
The family's visit to the Magic Kingdom was   _  .,amazing,6020
Why did the narrator 's sister come to visit ?,The narrator 's sister came to visit for the narrator 's birthday .,37819
The most moving scene is that  _   .,another old man also helped the old man,14604
The following measures were taken to drain the Everglades except that people  _  .,are cutting down these Paperbark trees,10985
"In a digital camera,  an image is taken by the camera's  _  .",CCD sensor,57052
Which of the following proverbs can best explain the theme of the story?,"As a man sows, so shall he reap  .",56934
Which might be the best title for the passage?,The Nobel Prizes,50418
What happens to the relationship after the end of the text?,not enough information,27444
What led Albert Hofmann to a career in chemistry?,His interest.,9573
Why isn't it a plain sailing?,Dr Syed was the wrong blood group.,51078
Which of the following is likely to be the effect of climate change?,Ice-free summer around the Arctic.,9666
. Which of the following may be favored by music lovers?,FIRE AND RAIN.,33217
What is the writer going to do when someone asks him for direction?,He will reply to it by the means of being a stranger to the town.,9326
What subject is the narrator focused upon ?,They are talking cuisine .,43600
Why did we get what we got ?,So we can look at ourselves in it .,29126
The investigation probably lasted:,Several months to a year,37465
What enable children to develop both their judgment and their sense of responsibility?,Making choices and completing what they should do on their own.,26305
The teacher was trying to explain   _  one day.,the basic principles of the income tax,14856
Why did the bacillus lose health?,Because it was growing old and had already performed another task,23438
How does Connie feel about the nurse who bathed her in cold water?,She thinks she was rude and out of line,56871
The father let his son to hammer the nails into the back of the fence and draw out in order to   _  .,educate him in this way,15738
why does she say he is my love ?,she loves him,56347
Why did Trump attack Hillary,for misrepresenting policy positions,36566
"If a Canadian who is on a 7-day trip to New York buys $ 800 CAN worth of goods, how much should he pay tax on when returning home?",$ 50 CAN,55170
The Interviewer probably believes that:,He is lucky to talk to Trump,39377
What kind of friends does she enjoy?,People who are humble.,29535
"At the funeral,   _  .",the writer was astonished by the scene,52218
"What's the writer's attitude towards Arafat's future, judging from the last sentence of the passage?",Doubtful.,9311
who is spending time on unimportant things?,the reader,19061
Who do you need to contact?,Your bank,30641
Who said the national guard will help with border surveillance?,Nielsen,6266
Nalini's journey with clear skin lasted:,several years beyond her teens,27114
What may be the reason why she did n't make the payment ?,None of the above choices .,17217
What kind of help did Julie get after the situations in her story?,She received professional mental help .,46732
Which of the following would be the best title for this passage?,Bruce Alberts' opinion on science education,19117
What is the best thing for the refugees to do now?,not enough information,5305
What may be the plausible reason I was disconcerted ?,I had lost all of my music .,7019
"By saying ""she must have been joking"" in Para 2,the guitarist probably means  _  .",it was impossible for him to answer her questions,18802
What is Troy's job?,not enough information,8631
What is the text mainly about?,A family looked for a new dog but found the old one instead.,1634
What can we assume about the sisters of the narrator ?,They are n't as old as her .,7765
Scientists now know_.,man's brain helps him to learn to speak,50314
When did Jenny pay for her Master's?,After they sold their deceased parent's house.,4498
What makes the author miss her/his home terribly?,The difficulty of communication with her/his family.,53164
"If you take on the Everest Adventure tour, you should be aware that   _  .",it is a tiring trip,48890
From the passage we may infer that   _  .,Watson was born in a welleducated family,9388
What foreign policy is Kushner responsible for?,Trump's travel,27228
"What would be the reason for me to say : pffft , some rep ?",The rep should make sure they know what is in the products they represent .,9848
What's this passage mainly about?,Self-understanding.,25099
What kind of job does the narrator likely work for at the end of the story?,As a graphic designer in advertising.,39062
The blackout probably lasted how long?,several hours,51811
The writer's mother threw away her homework because  _  .,the homework looked like waste paper,10156
How did the author feel after he saw the response to his expressed viewpoint at the meeting?,He was hurt.,17698
Which of the following about the spirit bear is NOT true?,It is a kind of polar bear.,25874
Why would the narrator be missing some items ?,They just reorganized their room .,13309
Mr. Hempel thinks people show no concern about some environmental problems because   _  .,some environmental problems happened far away,52918
"According to the passage, the four women mentioned in the passage are all_.",successful politicians,30634
_   lead to global warming problems.,More greenhouse gases and fewer trees,28496
Who shares tips and info online?,bloggers,24854
Why is the speaker so excited that they get so sleep in and then spend the day alone ?,They will enjoy the time to themselves and all the opportunities that this brings,50546
What may happen next in speaker 's story ?,They explain why that person is their number two .,44832
How may I be feeling right now ?,Sad,1218
"If Einstein were still alive today , his attitude towards V.R. would possibly be   _   .",supporting,59771
what's probably true about Doctor Brandenbury?,he is lonely,15183
Which of the following would be the best title?,Studies on How to Recognize Smell,33576
Why was this person thinking he was in training for two weeks ?,The training was much more intense then he realized and was tired .,43576
Why was the narrator driving somewhere ?,They were looking for a good meal .,32677
What makes the author think the 20-somethings sound like a bunch of spoiled children?,They complain that the economy is ruining their life plans.,22159
"If you are born in March, the sentence ""You are like a roller coaster"" is probably linked with which of the following characteristics?",Adoring challenges and competitions.,10275
How does spending time in nature connect to the development of a connection with one 's higher power ?,"Connecting to the divine requires a clear mind , and a walk outside is a good way to achieve this",9775
What may be the plausible reason for Mushi 's death,Lack of follow - up instructions after the operation,51666
Where does Stan live?,not enough information,9026
What's the best title for the passage?,Brain Training Makes a Difference,53808
Why was I thinking about hope during the movie .,The movie reminded me of how important hope is in my life .,27227
How many ways does the author think are useful?,3.,4123
"During the experiment, blood flow in the brains of the participants was measured in order to   _  .",find out which parts of the brain were functioning,25084
The homeless man only had something to drink because   _  .,he didn't have enough money for food,50645
What can we know about Rose's husband when he was alive?,He preferred to make arrangements ahead of time.,211
How long did the supreme court consider the case?,two weeks,43663
Which of the following is not mentioned in the passage?,Telling your parents' your plan.,16722
Vauvenarges' remark suggests that  _  .,it is social conditions that make people tell lies,13034
The fat of the recommended daily allowance for women is   _  grams.,18,34908
What do we know abut the Healthy Lunchtime Challenge?,The First Lady provides support for it.,19215
Driving has become less of a choice for young people because   _  .,it makes their connecting using technology impossible,14036
"The clause ""unless a substitute for the mother can be found"" means  _  .",if no one takes care of the children for the mother,52381
Where did the wedding party go to make the keepsake tins?,In the back,46276
What may have happened before I was looking for a stairwell,The building was too hot for me,3878
Which of the following isn't the damage to the ocean?,Sea water quality is improved.,24174
What may be the reason for this post ?,To describe my philosophy,13136
Which statement is not true according to the passage?,The hospital has fixed many cameras in the ceiling to prevent the advanced equipment from being stolen.,15698
For what purpose is the passage written?,To offer tips on writing book reviews.,3728
How long did it take for Comey to write his book?,About 1 year,1055
What's Keith Oatley's opinion about emotions?,They are helpful to us.,9259
Why is blood-work considered important?,"because it provides relevant information about diseases, body organs, and their functioning rates.",39548
The British used to think crying in public   _  .,unacceptable,13036
Specialists use dogs to listen to children reading because they think   _  .,dogs can provide encouragement for shy children,6525
When did Roland start feeling impelled?,After Diane and Perrin were safely off on the road to Paris.,58003
What can you tell about the speaker ?,They have elitist paper beliefs,56231
"After the end of this story, Gilbert probably realizes that:",The task is easier said than done as costs are usually higher than planed for recurring training sessions.,42351
What may be true about Cindy ?,She works at a grocery store .,45117
"According to the passage, when they are looking for a missing child, they",couldn't always try every way mentioned above,8482
Which can be the best title for this passage?,Now I Become Myself,6735
"In Para. 1, "" the desire of individuals to maximize their incomes"" means   _  .",Americans want to increase the purchasing power of their incomes.,47664
When did the US dis-invite China from RIMPAC?,Prior to it taking place.,29247
Where was Mary Shelley when she wrote the story Frankenstein?,In Switzerland,24584
What can we infer happened after discovering the trail marker ?,The group went the wrong way .,58285
Why don't some countries care about the problem of the environment?,They haven't realized the seriousness of the problem.,6896
What is characteristic of work in the 21st century?,Skills are highly valued regardless of age.,21921
What is probably true of Pelosi?,not enough information,42506
"After the 11-day holiday recess, Congress probably will:",Reconvene,43746
Who were the two people that got out of the car that Aage saw in London?,not enough information,4270
What do we know about Kenya from the passage?,At least three and a half million Kenyans lack food.,1111
President Trump probably believes that:,Good days are ahead for North Korea,21442
How long did it probably take her to get across the street?,Just a few seconds.,50851
What does the author think about the present kids?,They don't get close to nature.,9115
What can you tell about her from the text ?,She is hard to care for .,12300
What can we infer from the scientists' finding twenty years ago?,There is no safe level of Chromium VI exposure.,48857
The whole exchange programme is mainly to  _  .,let students learn something about other countries,21832
Which of the following is true of the narrator ?,They enjoy making things .,5915
"According to the passage, some doctors believe it is true that   _   .",cold-water swimming causes more heart attack in summer than in winter,56930
Where was I ?,Wedding,12078
Why am I writing what I 'm writing ?,I need to write it for the group blog .,34896
Which of the following is mentioned in the story?,The pig expressed its sympathy for the mouse.,35791
The reason for grown persons to think back to their past is that    _   .,they can hardly keep up with changes in today's world,26475
The region of Brisbane is famous for  _  .,its gold coast and the surfing condition,42290
What contributed most to his successful career?,His sharp hearing.,48636
How does the author deal with problems that arise in her life,She immediately deals with them.,52984
We can learn from the passage that the highness of notes is depended on  _  .,how far the grooves are,29495
What made the author's getting up late early worthwhile?,Visiting a local farmer's market.,51085
Why might they have a month 's deadline to learn difficult music ?,There might be a concert at the end of that time,52306
At the end of the review the reviewer might likely do what?,purchase more Temple Spa products,38711
Why is Rin 's hand so pink and raw ?,Rin is using too much soap on her hand .,20732
"According to Cristobal Cabello, it can be inferred that the Yerka  _  .",will be broken if it gets stolen,35671
Who was surrounding the main character at the pool after they woke up?,not enough information,12945
How did they distract themselves ?,By looking at an attractive person,52030
Where may the woman be taking the dog to ?,To the vet,35052
Who taught him desktop publishing?,His school teacher,44736
Adding some desserts in your breakfast diet properly will   _  .,make you become slim more easily,14855
Which of the following is relatively good for only wearing a short time?,A vermeil ear ring.,39743
Why did the author seek out Wiccan,Mad at God and sought guidance with a higher power,27930
The pregnant woman believes she is having problems getting up from the table because,She had blood clot on brain.,56205
What should parents do for their children based on Dweck's study?,Encourage them to learn from failures.,58941
Why might I joke about pregnancy brain ?,I might be pregnant and experiencing memory issues currently .,31352
Which flight did the woman put Peter on first?,To Newark,21975
Who is Ben?,not enough information,53625
Where does this text probably come from ?,An agricultural magazine.,16615
From this passage we know it is  _   when they had their bike trip.,fall.,22882
From the text we learn that    _    .,customs influence people's lives,59524
Who did Patch meet in the Center Kingdom?,Scout,33641
What did William say contributed to Dick's drug abuse problem?,the death of his sister Jane,45171
Anna started to get angry because  _,her husband had usually been more thoughtful,56600
Why is Gojyo enjoying the event despite initial resistance ?,Gojyo is smitten with someone .,9470
Which reader didn't state clearly which pronunciation he or she preferred?,Edward,1782
What part of the city is the narrator in ?,The dangerous part .,4612
What may happen after seeing Dejay ?,We might give each other a hug .,14836
What instrument does the narrator likely already play ?,Clarinet,23110
What is a likely reason that the speakers felt like heros and heroines ?,Someone was having a serious health concern and they managed to be of assistance,59865
The text mainly tells us that Japan and the Western world    _    .,are different in decision-making styles,47758
"When enjoying IP service,_.",Jitong users needn't buy IP cards,42634
What does Maria Isabella know about Lorenzo when she first sees him?,That she loves him.,36237
What caused Guanlao to have the idea of setting up a library?,The death of his parents.,47051
What may happen next in speaker 's story ?,They tell us how they got up for the day .,24624
Liu Chen chooses online shopping mainly because of its   _  .,low price,59980
When did Trump approve the sales deal to Nigeria?,Before he hosted the Nigerian president,56384
What is mainly talked about in this passage?,A person who refuses to return borrowed books and wants to look after them.,45557
This passage is probably written for   _  .,parents of small children,35225
Why was this individual frightened ?,he was in an electrical storm,54905
What type of comprehension was tested on the part of the exam I struggled with ?,I struggled with the math part of the exam .,40620
What is probably true about the narrator?,The narrator has at least one child.,21194
Where did the author get the facts about how many people are affected by influenza each year?,Centers for Disease Control,11004
What is this passage mostly from ?,a part of Twilight,27388
What may be the reason I call myself stupid for staying by his side ?,My husband made a mistake that was a complete betrayal of our vows .,49081
Which of the following would be the best title for the passage?,A Man's Kind Action,9832
What would have happened if I had stayed there ?,"I would be happy , and enjoy my time there",33812
"When TV, radio and print rely for much of their content on the sad stories of those 'victims' of life",after confessional age,48866
The doctors would be beaten if   _  .,they refused to obey the king's order,53339
Which of the following is TRUE about the Nichters?,They became known to many people,33663
Who first took a photo of the monster?,A doctor from London,34191
"As a result of the storm, the Pelhams' living-room   _  .",felt less private,32787
"After the author found her parents, they were probably:",Happy to see her back after 30 minutes,52131
The adult sponsors who were expected to care for children probably feel,not enough information,24289
How long has the debate over DACA been going on?,A few months,21962
What will happen starting on Monday?,New doctor will join the team,44400
What is the best title of this passage?,An English aspect of life: queuing,55388
What may I be about to do ?,Go on vacation,58449
What can we learn about the trip?,Their trip was satisfying at the beginning.,213
What will happen to PJ and the narrator 's camera ?,It will likely run out of power .,8582
Why Cynthia was dressed up?,She is a Vice President of a bank.,1886
What type of hobby does the narrator and their friends have ?,They like songs and records .,32945
What is the reason we are blessed .,None of the above choices .,52396
What happened to Ahsoka ?,She was killed .,48281
Which mountain stands in Asia?,Mt. Everest.,34164
Why is the speaker comfortable serving the provided wine to their guests ?,The wine is very delicious and there is no reason not to expect the guests to thoroughly enjoy it,38023
Why are Noah and Jared planning to do some manual labor in the attic ?,Because there is some work that needs to be done up there .,1599
Marguerite's opinion of A Tale of Two Cities before and after Mrs. Flowers' reading can be described as   _  .,common ... extraordinary,26525
"What may happen after Dad says "" I thought we said only one thing "" ?",They may need to provide an explanation as to why they bought more than one thing .,55780
Visitors can do all the following in Four Seasons Tented Camp EXCEPT  _  .,visit a pub,37527
Where may be the narrator heading next amid this pain ?,The narrator is likely off to the hospital .,26310
The driver of the Firebird   _  .,had some trouble with his car,25592
Which of the following statement is TRUE according to the passage?,Sanchez is the writer's family name.,12369
What kind of home do you want Winnie to go to ?,Winnie should go to a place that values what Winnie brings .,29597
What is the best title for the passage?,"Miya, Volunteer in Costa Rica",28492
Esther Lau and Joanne Tseng have the same   _  .,age,46798
From the passage we can learn that   _  .,people sometimes blink because of shyness,50502
The hunt for a new house probably lasted:,several months,13959
What can the reader reasonably assume about the author 's familiarity with sites like the new one in town ?,The author has seen various challenge sites before .,57660
"If you want to join the English Salon, you should at least_.",be an English lover or can speak English well,11278
. How does the author feel about bugs like cockroaches?,They still deserve a place for keeping the balance of the nature.,14112
Why is the narrator worried that he thinks she is a bitch ?,Because she is young and cares too much about the opinion of boys .,5842
It can be inferred that   _  .,the author's husband is an environmentalist.,25081
What is the direct reason why sitting in front of TV is unhealthy?,You take less exercise.,20080
Who found tumors in the wife's brain?,Medical personnel found them.,6812
How can you describe Shaelynn ?,Shaeylynn is servile .,42996
Why was the narrator trying to hold in emotion ?,So as to not to insult the people .,2389
After Mike Pompeo returned from Pyongyang:,preparations for US/North Korea talks continued,13784
The passage mainly wants to  _  .,discuss something about inflation,46677
What may happen after this situation ?,They will attempt to make a new batch of brownies .,29934
What had the author planned to do during the flight?,Reading.,29442
What is the Baby Borrowers most likely to be ?,TV show,51824
Which of the following statements is TRUE according to the passage?,Few Chinese provinces are aiming for economic growth rates of less than 10%.,22489
What might have been teh reason that we had to go back to Comcast ?,Comcast may have monopoly in the new place we moved to .,29681
The necklace was stolen by   _   .,an ugly man,10148
What is a fact about the information in the post ?,Chances of being attacked by a big cat is very low .,44930
What may be a valid fact about the anniversary ?,"Somebody wants to celebrate it , no matter what .",25252
What may be a fact about this person and their bag ?,They are having their bag handle fixed .,48070
"According to the author's new friend, some people  _  .",were poor and about to be homeless,35561
What can we infer from the passage?,More Friendship Benches will be installed in other schools soon.,59582
What is probably true about the narrator ?,They are a smoker,50235
Which of the following statements would the author agree?,People should find a proper ratio between high and low pay.,54414
What do we know about the speaker ?,They want to compete on TV .,15151
What would have had to happen before this trip .,They 'd have to get married .,45498
It is important for people to eat   _  .,something from each of the seven kinds of food every day,44572
Carnie is probably:,A criminal,19797
Where does Pete volunteer 2 or 3 times a week?,The Crossroads Detox Center,38622
Why did the narrator get drunk ?,There was no supervision .,15225
All of the following are included in the insurance project except   _  .,"clothing, linen and cars",42550
Why does the narrator feel uncomfortable ?,They feel it 's very steamy .,20291
"According to the story, which of the statements below is NOT true?",The next morning the author did meet the old man and give him a warm hand.,27897
What's the best title for this passage?,A christmas tree gives hope for a miracle,51024
"In the future , will this person go to see other bands play ?","This person likes music and likes to see the show , they will see other bands play .",49171
Daven cried out to his father:,After running over the hill,53674
What country may I currently be living in ?,Ireland,40679
What does Paul think of Chloe's new look?,He is impressed by how dramatically different she looks,1004
Why did the taxi driver honk?,She walked in front of the taxi.,4463
What is the speaker's purpose in this speech?,To state some requirements foreign students should pay attention to when applying for colleges.,22511
Which of the following is true of the narrator ?,They do not think highly of him .,38796
What may of been the reason for Alex to run off,She got into a fight with her dad .,8232
Which of the following statements is NOT true?,"Tsien Hsue--shen married Jiang Ying, the daughter of Chinese nationalist leader Chiang Kai-shen.",51237
The main purpose in writing this text is  _  .,to announce the plan of the art festival,12133
When did the itch move to the other hand?,After the captor asked if he wanted some water,51797
What does Steffen Seibert personally think about allowing Russia re-join the G-8?,not enough information,36137
The writer found it  _  to run again after a few years.,difficult,18983
Why should parents limit the activities our children attend?,Because children cannot focus on too many activities.,48105
"What is meant by "" he goes a hundred miles an hour "" ?",It means he works quickly and helps others in an efficient way .,38811
This passage is basically about some   _   of foreign language learning.,suggestions,32634
"After her husband's death, the quilt helped the author   _  .",get through the hard times,8272
What may be the reason for this day being sentimental ?,Because the boy is growing up .,5932
Alaska's graduation exam is different from the others' in the aspect that  _  .,it includes its own state history as well,44165
Who did the work,Hira masi,9901
Why are Kota and the speaker surprised that it had been Ed 's first semester ever teaching ?,He was a great teacher and they were sure that he had been doing it for some time,10087
Which of the following is not a requirement for candidates for the presidency of the USA?,Previous experience in an elective office.,8379
"On the way to Hanoi, the author   _  .",was not pleased with Vietnamese drivers,29605
"According to the passage, the common belief is that   _  .",thin people are more successful,39201
What is the primary source of the narrator 's deep anxiety ?,The narrator is faced with a failing restroom .,57431
What did the gunman do after the massive killing?,He killed himself with his gun.,14923
Who was rushed to the NICU,Both,32469
How might the speaker feel during this situation ?,The speaker feels worried about their girlfriend 's whereabouts .,35680
What's NOT the advantage of children having a good imagination?,Helping them form a good habit of reading stories.,14061
Which of the following is true ?,The passage doesn't tell us who was the first man to go into space .,18373
Why was the speaker stressed ?,Because they wanted to do two things at the same time .,9684
Which of the following opinions agrees with the passage?,A friend in need is a friend indeed.,880
. Ben did not rush in help Mrs. Tailor because  _,he thought that she could be tricking them,57452
It is implied but not stated that_.,people can understand the blind people's world better after visiting the dark restaurant,16283
"after the passage, the writer probably",kept cooking,46522
What may be the reason for them calling Cover Girl cheap shit ?,Because it 's cheaper than other makeup .,30561
From the passage we can infer that people   _  .,voted for Bradley because they trust him,33732
Which of the following statements is not right according to the passage?,The friend is a mirror for us to learn more about others.,35689
